size,sdscale,partition_type,time
8,5,p1,0.3700000001117587
8,5,p2,0.3799999998882413
8,5,p1,0.75
8,5,p2,0.75
8,5,p1,0.6100000001024455
8,5,p2,0.6300000001210719
8,5,p1,0.6100000001024455
8,5,p2,0.6299999998882413
8,5,p1,0.6099999998696148
8,5,p2,0.6299999998882413
8,5,p1,0.7299999999813735
8,5,p2,0.75
8,6,p1,0.6299999998882413
8,6,p2,0.6299999998882413
8,6,p1,0.75
8,6,p2,0.75
8,6,p1,0.6300000001210719
8,6,p2,0.6200000001117587
8,6,p1,0.6099999998696148
8,6,p2,0.6199999998789281
8,6,p1,0.6099999998696148
8,6,p2,0.6600000001490116
8,6,p1,0.8600000001024455
8,6,p2,0.909999999916181
8,6,p1,0.7600000000093132
8,6,p2,0.7299999999813735
8,6,p1,0.75
8,6,p2,0.7299999999813735
8,6,p1,0.7600000000093132
8,6,p2,0.75
8,6,p1,0.7300000002142042
8,6,p2,0.75
9,1,p1,0.38000000012107193
9,1,p2,0.3799999998882413
9,1,p1,0.36999999987892807
9,1,p2,0.5399999998044223
9,1,p1,0.36999999987892807
9,1,p2,0.3799999998882413
9,1,p1,0.38000000012107193
9,1,p2,0.3700000001117587
9,1,p1,0.3700000001117587
9,1,p2,0.36999999987892807
9,1,p1,0.36999999987892807
9,1,p2,0.3600000001024455
9,1,p1,0.25
9,1,p2,0.25
9,1,p1,0.3799999998882413
9,1,p2,0.3899999998975545
9,1,p1,0.1299999998882413
9,1,p2,0.12000000011175871
9,1,p1,0.38000000012107193
9,1,p2,0.3700000001117587
9,2,p1,0.35999999986961484
9,2,p2,0.3799999998882413
9,2,p1,0.3799999998882413
9,2,p2,0.39000000013038516
9,2,p1,0.6100000001024455
9,2,p2,0.6400000001303852
9,2,p1,0.6199999998789281
9,2,p2,0.6299999998882413
9,2,p1,0.3799999998882413
9,2,p2,0.3700000001117587
9,2,p1,0.75
9,2,p2,0.7399999999906868
9,2,p1,0.36999999987892807
9,2,p2,0.3799999998882413
9,2,p1,0.38000000012107193
9,2,p2,0.3700000001117587
9,2,p1,0.47999999998137355
9,2,p2,0.5
9,2,p1,0.3799999998882413
9,2,p2,0.3799999998882413
9,3,p1,0.6100000001024455
9,3,p2,0.6200000001117587
9,3,p1,0.47999999998137355
9,3,p2,0.5
9,3,p1,0.5
9,3,p2,0.5
9,3,p1,0.7299999999813735
9,3,p2,0.75
9,3,p1,0.3700000001117587
9,3,p2,0.3799999998882413
9,3,p1,0.36999999987892807
9,3,p2,0.3600000001024455
9,3,p1,0.75
9,3,p2,0.75
9,3,p1,0.7399999999906868
9,3,p2,0.75
9,3,p1,0.75
9,3,p2,0.9199999999254942
9,3,p1,0.6199999998789281
9,3,p2,0.6100000001024455
9,4,p1,0.6200000001117587
9,4,p2,0.6200000001117587
9,4,p1,0.6200000001117587
9,4,p2,0.6099999998696148
9,4,p1,0.6299999998882413
9,4,p2,0.6299999998882413
9,4,p1,0.6100000001024455
9,4,p2,0.6300000001210719
9,4,p1,0.6100000001024455
9,4,p2,0.6299999998882413
9,4,p1,0.75
9,4,p2,0.75
9,4,p1,0.75
9,4,p2,0.75
9,4,p1,0.75
9,4,p2,0.7399999999906868
9,4,p1,0.75
9,4,p2,0.75
9,4,p1,0.4899999999906868
9,4,p2,0.5
9,5,p1,0.6200000001117587
9,5,p2,0.6299999998882413
9,5,p1,0.8699999998789281
9,5,p2,0.8799999998882413
9,5,p1,0.5
9,5,p2,0.5
9,5,p1,0.75
9,5,p2,0.75
9,5,p1,1
9,5,p2,1
9,5,p1,0.7399999999906868
9,5,p2,0.75
9,5,p1,1.0300000000279397
9,5,p2,0.8700000001117587
9,5,p1,0.75
9,5,p2,0.75
9,5,p1,0.8799999998882413
9,5,p2,0.8799999998882413
9,5,p1,0.7299999999813735
9,5,p2,0.75
9,6,p1,0.7299999999813735
9,6,p2,0.75
9,6,p1,0.8799999998882413
9,6,p2,0.8599999998696148
9,6,p1,0.5
9,6,p2,0.5
